Column1;First name;Last name;Published
1001;Amane;Dannouni;True
1002;Allison;Ramsey;False
1003;C????sar Cuauht????moc;Garc????a Hern????ndez;False
1004;Alicia;Eggert;True
1005;Robert;Reffkin;True
1006;Chieh;Huang;True
1007;Emily;Oster;True
1008;Thasunda;Duckett;True
1009;LeeAnn;Renninger;True
1010;Liz;Fosslien;True
1011;Rahaf;Harfoush;True
1012;Patrick;McGinnis;True
1013;Paul;Franklin;False
1014;Gemma;Jackson;False
1016;Lucy;King;True
1017;Smruti;Jukur Johari;True
1018;Jennifer;Vail;True
1019;Matthew A.;Wilson;True
1020;Jay;Van Bavel;False
1021;Paul;McEuen;True
1022;Lisa Janae;Bacon;False
1023;David;Ikard;True
1024;Angelica;Dass;False
1025;Rayma;Suprani;True
1027;Ellen;Agler;True
1028;Sylvain;Duranton;True
1029;Jessica;Ochoa Hendrix;True
1030;Christopher;Bahl;True
1032;Melody;Smith;False
1033;Werner;Reich;True
1034;Carl;Honor????;True
1035;Jinha;Lee;True
1036;Angelicque;White;True
1037;Djazia;Satour;False
1038;Findlay;Napier;False
1039;Blitz;Bazawule;False
1040;Eric;Lewis;True
1041;Min;Kym;False
1042;Mariana;Lin;False
1043;Sonia;Livingstone;False
1044;Carl Joshua;Ncube;False
1045;Mackenzie;Dalrymple;False
1046;Fay;Bound Alberti;False
1047;Marilyn;Waring;True
1048;Michael;Stiff;False
1049;Erin;Sullivan;True
1050;Priscilla;Pemu;True
1051;Stuart;Oda;True
1052;Jan;Bill;False
1053;Adam;Garske;True
1054;Fahad;Saeed;False
1056;Rachel;Kleinfeld;True
1057;Walter;Tschinkel;False
1058;Priti;Krishtel;True
1059;Juan Pablo;S????ez Gil;False
1060;Daniel;Krawczyk;False
1061;Markus;Mutz;True
1062;David J.;Bier;True
1063;Tom;Nash;True
1065;Suzanne;Lee;True
1066;Marco;Tempest;True
1068;Colette;Pichon Battle;True
1069;Anna;Piperal;True
1070;Eden;Girma;False
1071;Emma;Schachner;True
1072;Leon;Marchal;True
1073;Julian;Burschka;True
1074;Risa;Wechsler;True
1075;Mitch;Zeller;True
1076;Anindya;Kundu;True
1077;Ipsita;Dasgupta;True
1079;Pat;Mitchell;True
1080;Cara E.;Yar Khan;True
1081;Valorie;Kondos Field;True
1082;Guy;Winch;True
1083;William;Desmond;False
1084;Nick;Bostrom;True
1085;Diego;Prilusky;False
1086;Coby;Everton;False
1087;Jasmine;Crowe;True
1088;Sinan;Aral;True
1089;Daniel;Kwartler;False
1090;Enrico;Ramirez-Ruiz;True
1092;Henna-Maria;Uusitupa;True
1093;Kings;Floyd;False
1094;Kelsey;Leonard;True
1095;Bright;Simons;True
1096;Jill;Dash;False
1097;Lorna;Davis;True
1098;Chris;Anderson;True
1099;Tal;Danino;True
1101;Edward;Tenner;True
1103;Alexander;Leitner;False
1104;Kathryn;Bouskill;True
1106;Dolores;Huerta;False
1107;Eve;Ensler;True
1109;Cornelia;Geppert;True
1110;Kelsey;Johnson;True
1112;Kara;Logan Berlin;True
1113;Heidi;Boisvert;True
1114;Chris;Kniesly;False
1116;Alejandro;Dur????n;True
1117;Cathy;Mulzer;True
1118;Mike;Cannon-Brookes;True
1119;Deepa;Narayan;True
1121;Sougwen;Chung;True
1122;Dr. Emily;Anhalt;False
1123;Mike;Brown;True
1124;Theresa;Yugar;False
1125;Daniel;B????gre Udell;True
1126;Arjan;Dwarshuis;False
1127;LaToya Ruby;Frazier;True
1128;Emma;Belcher;True
1129;Dan;Reinstein;False
1130;David;Asch;True
1131;Arunabha;Ghosh;True
1133;Guadalupe;Nogu????s;False
1134;Jean-Manuel;Izaret;False
1135;Dan;Ariely;True
